description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Audi Q5 2.0 Tfsi 225cv Quattro,US$22.500,22500,2014,2014,142.000 Km,142000,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1500975369-audi-q5-20-tfsi-225cv-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$27.000,27000,2013,2013,6.000 Km,6000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099260978-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 Q5 Pi 45 Tfsi Advanced Quattro,US$84.900,84900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2091935220-audi-q5-pi-45-tfsi-advanced-quattro-2025-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,US$33.000,33000,2016,2016,105.000 Km,105000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1483780487-blindado-rb3-audi-q5-20-quattro-tomas-bord-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$19.800,19800,2010,2010,148.000 Km,148000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2092679870-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,US$37.000,37000,2018,2018,83.000 Km,83000,Escalante - Chubut,https://auto.mercadolibre.com.ar/MLA-1479614399-audi-q5-20-tfsi-tiptronic-quattro-225cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$19.000,19000,2011,2011,195.000 Km,195000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2080418386-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$18.500,18500,2010,2010,124.000 Km,124000,Esteban Echeverría - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2086860928-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 250cv,US$55.000,55000,2020,2020,54.000 Km,54000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2097278330-audi-q5-20-tfsi-tiptronic-quattro-250cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Quattro,US$16.800,16800,2012,2012,124.000 Km,124000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2086600772-audi-q5-20-tfsi-211cv-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$25.500,25500,2016,2016,150.000 Km,150000,Nogoyá - Entre Ríos,https://auto.mercadolibre.com.ar/MLA-1496552873-audi-q5-20t-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$22.000,22000,2012,2012,105.000 Km,105000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1499706271-audi-q5-2012-105000-kms-inmaculada-service-oficiales-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 I 170cv Stronic Quattro,US$15.500,15500,2012,2012,223.000 Km,223000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2092485206-audi-q5-20-i-170cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$17.800,17800,2010,2010,180.000 Km,180000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2092698804-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,US$31.000,31000,2017,2017,120.000 Km,120000,Beccar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1500230391-audi-q5-20-tfsi-tiptronic-quattro-225cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
