description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw X3 X3 Xdrive 30i,US$87.900,87900,2023,2023,10.000 Km,10000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2017664188-x3-xdrive-30i-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 Xdrive M50 M Performance 398cv,US$137.500,137500,2025,2025,0 Km,0,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1480508323-bmw-x3-30-xdrive-m50-m-performance-398cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 D Executive,US$17.900,17900,2008,2008,198.000 Km,198000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2088018076-bmw-x3-30-d-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$25.900,25900,2012,2012,149.000 Km,149000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2079944290-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$29.000,29000,2013,2013,135.000 Km,135000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500350403-bmw-x3-35i-pack-m-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$25.800,25800,2012,2012,145.000 Km,145000,Ezeiza - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2078251852-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$52.000,52000,2017,2017,148.000 Km,148000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2089847088-bmw-x3-30-x3-xdrive-35i-m-package-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 D Executive,US$10.000,10000,2007,2007,192.000 Km,192000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2103693684-bmw-x3-2007-30-x3-d-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↓
Bmw X3 3.0 D Executive Stept,US$13.000,13000,2004,2004,207.000 Km,207000,Resistencia - Chaco,https://auto.mercadolibre.com.ar/MLA-1501449621-bmw-x3-30-d-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$32.000,32000,2013,2013,81.000 Km,81000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2099769838-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$23.000,23000,2013,2013,160.000 Km,160000,Salta - Salta,https://auto.mercadolibre.com.ar/MLA-2091522182-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30i Xline,US$80.000,80000,2023,2023,40.000 Km,40000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2097999906-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Executive,US$63.000,63000,2021,2021,45.000 Km,45000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501430519-bmw-x3-20-xdrive-30i-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 X Drive 30i 252cv,US$53.000,53000,2018,2018,70.000 Km,70000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2087280426-bmw-x3-30i-252cv-xline-xdrive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$25.000,25000,2012,2012,160.000 Km,160000,San Nicolás - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2083575748-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 2.0 30i,US$66.900,66900,2020,2020,35.000 Km,35000,San Miguel De Tucumán - Tucumán,https://auto.mercadolibre.com.ar/MLA-1499812613-bmw-x3-20-30i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
